Set random seed to 2021
Number of classes: 2
Number of model parameters: 11177538
Length of train/val datasets: 237937, 61915
Length of train/val dataloaders: 24, 7
Using 1 GPUs: GeForce RTX 3090
Max/min/avg number of train datasets: 167122, 70815, 118968.5
Max/min/avg number of test datasets: 43798, 18117, 30957.5
Config:
  - seed: 2021
  - root_dir: croppedData
  - train_batch_size: 10000
  - test_batch_size: 10000
  - lr: 0.001
  - test_ratio: 0.2
  - num_epoch: 200
  - grad_accum_step: 1
  - data_parallel: False
  - optim_type: Adam
  - loss_type: CE
  - model_type: resnet18
  - model_path: ckpt/resnet18_4839_pretrain/best_loss.pth
  - train_isNull: True
  - gray_scale: False
  - use_imagenet_pretrain: True
  - cfg_str: NULL_use_imagenet_pretrain_
  - dest_path: ckpt/resnet18_lr0.001_CE_NULL_use_imagenet_pretrain_


Epoch   8 | Train step   4 | Loss: 0.160810 | Acc: 93.567500%
Epoch   8 | Train step   5 | Loss: 0.157760 | Acc: 93.704000%
Epoch   8 | Train step   6 | Loss: 0.156169 | Acc: 93.725000%
Epoch   8 | Train step   7 | Loss: 0.155007 | Acc: 93.745714%
Epoch   8 | Train step   8 | Loss: 0.154526 | Acc: 93.761250%
Epoch   8 | Train step   9 | Loss: 0.152721 | Acc: 93.840000%
Epoch   8 | Train step  10 | Loss: 0.152954 | Acc: 93.820000%
Epoch   8 | Train step  11 | Loss: 0.152454 | Acc: 93.848182%
Epoch   8 | Train step  12 | Loss: 0.151185 | Acc: 93.906667%
Epoch   8 | Train step  13 | Loss: 0.150260 | Acc: 93.958462%
Epoch   8 | Train step  14 | Loss: 0.150885 | Acc: 93.925000%
Epoch   8 | Train step  15 | Loss: 0.152980 | Acc: 93.860000%
Epoch   8 | Train step  16 | Loss: 0.155957 | Acc: 93.739375%
Epoch   8 | Train step  17 | Loss: 0.157074 | Acc: 93.698235%
Epoch   8 | Train step  18 | Loss: 0.157648 | Acc: 93.693889%
Epoch   8 | Train step  19 | Loss: 0.158866 | Acc: 93.627895%
Epoch   8 | Train step  20 | Loss: 0.158411 | Acc: 93.656000%
Epoch   8 | Train step  21 | Loss: 0.159208 | Acc: 93.614762%
Epoch   8 | Train step  22 | Loss: 0.159382 | Acc: 93.601818%
Epoch   8 | Train step  23 | Loss: 0.159831 | Acc: 93.590000%
Epoch   8 | Train step  24 | Loss: 0.159542 | Acc: 93.598726%
Epoch   8 | Train | Loss: 0.159542 | Acc: 93.598726%
Epoch   8 |  Val  | Loss: 0.211838 | Acc: 91.577162%
Model(loss) saved.
Current best: min_loss = 0.21184, best_acc = 91.57716%
Epoch time: 21m/8.8h


Epoch   9 | Train step   1 | Loss: 0.141533 | Acc: 94.750000%
Epoch   9 | Train step   2 | Loss: 0.134078 | Acc: 94.860000%
Epoch   9 | Train step   3 | Loss: 0.132387 | Acc: 94.856667%
Epoch   9 | Train step   4 | Loss: 0.131234 | Acc: 94.957500%
Epoch   9 | Train step   5 | Loss: 0.127931 | Acc: 95.114000%
Epoch   9 | Train step   6 | Loss: 0.126979 | Acc: 95.131667%
Epoch   9 | Train step   7 | Loss: 0.124883 | Acc: 95.201429%
Epoch   9 | Train step   8 | Loss: 0.123920 | Acc: 95.235000%
Epoch   9 | Train step   9 | Loss: 0.122900 | Acc: 95.261111%
Epoch   9 | Train step  10 | Loss: 0.122125 | Acc: 95.278000%
Epoch   9 | Train step  11 | Loss: 0.122025 | Acc: 95.274545%
Epoch   9 | Train step  12 | Loss: 0.120771 | Acc: 95.315000%
Epoch   9 | Train step  13 | Loss: 0.120604 | Acc: 95.314615%
Epoch   9 | Train step  14 | Loss: 0.120584 | Acc: 95.297143%
Epoch   9 | Train step  15 | Loss: 0.120304 | Acc: 95.301333%
Epoch   9 | Train step  16 | Loss: 0.120083 | Acc: 95.298750%
Epoch   9 | Train step  17 | Loss: 0.120112 | Acc: 95.292941%
Epoch   9 | Train step  18 | Loss: 0.119594 | Acc: 95.312778%
Epoch   9 | Train step  19 | Loss: 0.119153 | Acc: 95.334211%
Epoch   9 | Train step  20 | Loss: 0.119280 | Acc: 95.330000%
Epoch   9 | Train step  21 | Loss: 0.118826 | Acc: 95.342381%
Epoch   9 | Train step  22 | Loss: 0.118891 | Acc: 95.333182%
Epoch   9 | Train step  23 | Loss: 0.118947 | Acc: 95.334783%
Epoch   9 | Train step  24 | Loss: 0.118852 | Acc: 95.340363%
Epoch   9 | Train | Loss: 0.118852 | Acc: 95.340363%
Epoch   9 |  Val  | Loss: 0.244802 | Acc: 91.770976%
Model(acc) saved.
Early stop counter 1/50.
Current best: min_loss = 0.21184, best_acc = 91.77098%
